current_figure_number,tex_file,label,section,current_image_path,short_title,long_caption,action,replacement_image,border_needed,ocr_needed,target_section,duplicate_of,delete_confirmed
,,,,.DS_Store,,,intentionally_excluded,,no,no,,,no
,,,,cover/cover.png,,,non_dissertation_asset,,no,no,,,no
6.4,chap6/credit_scoring.tex,fig:abc_auc_features,Score Design Rationale,discussion/ABC scores AUC+top features.png,A B C Score Comparison,A/B/C score AUC comparison and top features for each score type. The declining AUC from A to C reflects the decreasing richness of available features at each lifecycle stage.,included,,no,no,Score Design Rationale,,no
,,,,discussion/Bureau_features.png,,,converted_to_table,,yes,yes,Chapter 6 / A/B/C framework,,yes
,,,,discussion/Credit_Card_Balance_correlation_matrix_key.png,,,intentionally_excluded,,no,no,,,no
,,,,discussion/Credit_Card_Balance_features.png,,,converted_to_table,,yes,yes,Chapter 4 / POS and credit card features,,yes
3.23,chap3/data_collection.tex,fig:ext_source_discussion,External Risk Score Analysis,discussion/EXT SOURCE distribution analysis.png,"Extended analysis of EXT\_SOURCE distributions including cross-tabulation with demographic features,","Extended analysis of EXT\_SOURCE distributions including cross-tabulation with demographic features, revealing how external scores interact with applicant characteristics.",included,,no,no,External Risk Score Analysis,,no
,,,,discussion/EXT_SOURCE relationship with installment history? answer - NO.png,,,intentionally_excluded,,no,no,,,no
,,,,discussion/InterchangeableLogicSummaryTable.jpeg,,,intentionally_excluded,,no,no,,,no
,,,,discussion/LR - top 20 most imp features.png,,,intentionally_excluded,,no,no,,,no
,,,,discussion/N-features and Gini for various trained models.png,,,converted_to_table,,yes,yes,Chapter 5 / Impact of alternative data,,yes
2.1,chap2/literature_review.tex,fig:pr_vs_roc,AUC-ROC vs Precision-Recall Curves,discussion/PRvROC.jpeg,Comparison of ROC and Precision-Recall curves,Comparison of ROC and Precision-Recall curves. The ROC curve (right) shows the trade-off between true positive rate and false positive rate; the PR curve (left) focuses on minority class performance.,included,,no,no,AUC-ROC vs Precision-Recall Curves,,no
3.1,chap3/data_collection.tex,fig:data_model,Physical Data Model,discussion/Physical data model - Table_Relations_home_credit.png,Physical Data Model showing the relational structure of the Home,"Physical Data Model showing the relational structure of the Home Credit dataset. Tables are linked through \texttt{SK\_ID\_CURR} (applicant identifier), \texttt{SK\_ID\_PREV} (previous application identifier), and \texttt{SK\_ID\_BUREAU} (bureau record identifier).",included,,no,no,Physical Data Model,,no
,,,,discussion/RF - top 20 most imp features.png,,,intentionally_excluded,,no,no,,,no
,,,,discussion/ReflectionSummaryTable.png,,,intentionally_excluded,,no,no,,,no
,,,,discussion/TradeoffSummary.jpeg,,,intentionally_excluded,,no,no,,,no
5.7,chap5/predictive_modeling.tex,fig:combined_confusion_matrices,Combined Dataset Results,discussion/confusionmatrices - combined no pca.png,Combined Confusion Matrices,"Confusion matrices for all four models on the combined dataset without PCA. The accuracy--recall trade-off is clearly visible: XGBoost achieves 86\% accuracy but only 38\% recall, while Logistic Regression achieves 69\% accuracy with 69\% recall.",included,,no,no,Combined Dataset Results,,no
,,,,discussion/dbs says credit score depends on financial behaviour history.png,,,intentionally_excluded,,no,no,,,no
,,,,discussion/ext_sources_dist.png,,,intentionally_excluded,,no,no,,,no
3.26,chap3/data_collection.tex,fig:correlation_heatmap,Correlation Analysis,discussion/feature correlation with target.png,Feature correlation heatmap highlighting the relationships between key predictors and,"Feature correlation heatmap highlighting the relationships between key predictors and the target variable. Multicollinearity among financial features (credit amount, goods price, annuity) is visible.",included,,no,no,Correlation Analysis,,no
,,,,discussion/ks + calibration + lift plots.png,,,duplicate_delete,"pptx/KS score metrics - KS plot, calibration curve, lift chart by risk decile.png",no,no,Appendix D / Modelling Supplementary Figures,fig:ks_cal_lift,yes
3.24,chap3/data_collection.tex,fig:ext_source_missing,Interpretation of External Scores,discussion/missing values for ext sources.png,Missing value patterns for external source variables,Missing value patterns for external source variables. The differential missingness rates support the interpretation of each score as originating from distinct data providers with varying coverage.,included,,no,no,Interpretation of External Scores,,no
D.1,appD/appendix_d_main.tex,fig:ks_analysis_appendix,Modelling Supplementary Figures,discussion/our KS plot analysis.png,Detailed KS Plot,"Detailed KS plot analysis showing the cumulative distribution functions for defaulters and non-defaulters, with the maximum KS separation point annotated.",included,,no,no,Modelling Supplementary Figures,,no
,,,,discussion/we used AdverserialDebiasing.png,,,intentionally_excluded,,no,no,,,no
,,,,fict_red_logo.jpeg,,,non_dissertation_asset,,no,no,,,no
,,,,fict_red_logo.png,,,non_dissertation_asset,,no,no,,,no
,,,,notebook/final_traditional_detailed_group_wise_selection__17.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_pca_detailed_group_wise_selection__19.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_pca_plot_10.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_pca_plot_11.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_pca_plot_12.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_pca_plot_13.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_pca_plot_14.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_pca_plot_15.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_pca_plot_16.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_pca_plot_17.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_pca_plot_4.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_pca_plot_5.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_pca_plot_6.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_pca_plot_8.png,,,intentionally_excluded,,no,no,,,no
,,,,notebook/final_traditional_pca_plot_9.png,,,intentionally_excluded,,no,no,,,no
